Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
24-25;19;Tarbes;Villeneuve d'Ascq;57;51;0;1438.099962615866;1548.4682364595487;1460.98;1532.13
24-25;20;Angers;Lyon;59;53;0;1518.3897670378806;1536.5222401701624;1536.8;1523.37
24-25;20;Villeneuve d'Ascq;Basket Landes;51;55;0;1532.1258056401684;1624.754859742505;1519.18;1634.0
24-25;20;Charnay;Bourges;100;89;0;1578.3515158898495;1753.007818517612;1603.98;1734.7
24-25;20;Landerneau;Charleville-Mézières;75;68;0;1384.25720772261;1586.6886782784495;1410.94;1567.63
24-25;20;Lattes Montpellier;Chartres;74;73;0;1615.1581347668805;1316.818177822166;1620.49;1313.01
24-25;20;Tarbes;Roche Vendée;92;80;0;1460.9793657629984;1421.612105851498;1476.5;1410.52
24-25;21;Charleville-Mézières;Angers;65;59;0;1567.6313666750286;1536.8022541554058;1583.58;1525.41
24-25;21;Basket Landes;Tarbes;90;64;1;1633.999039501461;1476.5049168993155;1645.51;1465.0
24-25;21;Bourges;Landerneau;71;34;0;1734.7048323384129;1410.937443967399;1739.4;1407.58
24-25;21;Lyon;Charnay;66;71;1;1523.3704636576444;1603.9756965407282;1507.93;1619.42
24-25;21;Chartres;Villeneuve d'Ascq;54;87;0;1313.012963393911;1519.1839539776302;1304.83;1525.03
24-25;21;Roche Vendée;Lattes Montpellier;59;80;0;1410.5224264684143;1620.4854349664377;1402.47;1626.23
24-25;22;Angers;Bourges;64;69;0;1525.4085187324501;1739.4041418907052;1517.5;1745.05
24-25;22;Roche Vendée;Basket Landes;65;71;0;1402.474490554964;1645.5068087783768;1395.55;1650.46
24-25;22;Lyon;Charleville-Mézières;86;78;0;1507.9289796112068;1583.5825962671665;1529.18;1568.4
24-25;22;Landerneau;Charnay;57;84;0;1407.5807942871904;1619.4171805871658;1399.6;1625.12
24-25;22;Tarbes;Chartres;84;66;0;1464.9971476223998;1304.8289504027755;1474.96;1297.72
24-25;22;Villeneuve d'Ascq;Lattes Montpellier;59;73;0;1525.0296775427269;1626.2339606189023;1512.49;1635.19
25-26;1;Roche Vendée;Angers;64;72;1;1395.5454070308388;1517.5035437693475;1382.29;1530.76
25-26;1;Basket Landes;Landerneau;59;43;0;1650.456154152752;1399.5994964418883;1657.14;1394.83
25-26;1;Chartres;Bourges;58;62;0;1297.7151980001113;1745.0505525786357;1295.24;1746.82
25-26;1;Charleville-Mézières;Lattes Montpellier;70;71;0;1568.402956564359;1635.192446984613;1554.23;1645.32
25-26;1;Lyon;Charnay;64;69;1;1529.1804751951372;1625.1181076195244;1514.57;1639.73
25-26;1;Villeneuve d'Ascq;Toulouse;84;85;0;1512.487796630732;1500.0;1494.36;1512.95
25-26;2;Angers;Lyon;62;60;0;1530.7578811297683;1514.5668789988267;1547.44;1502.65
25-26;2;Bourges;Basket Landes;53;58;0;1746.8195589581803;1657.1383341826977;1724.9;1672.8
25-26;2;Landerneau;Charleville-Mézières;85;81;0;1394.826510706213;1554.2262433419621;1419.84;1536.36
25-26;2;Charnay;Chartres;89;74;0;1639.7317038158349;1295.238589068749;1643.97;1292.21
25-26;2;Lattes Montpellier;Villeneuve d'Ascq;75;70;0;1645.3186707148966;1494.359068915613;1655.66;1486.97
25-26;2;Toulouse;Roche Vendée;66;65;0;1512.9490912250849;1382.291069670418;1524.16;1374.28
25-26;3;Chartres;Angers;89;78;1;1292.213768344363;1547.4429455966704;1324.73;1514.93
25-26;3;Basket Landes;Charnay;68;46;0;1672.7950762936919;1643.9664528299754;1688.85;1632.5
25-26;3;Charleville-Mézières;Bourges;77;62;0;1536.362531438364;1724.9001200027885;1562.52;1706.21
25-26;3;Villeneuve d'Ascq;Landerneau;75;67;0;1486.9724735669433;1419.8357073712505;1501.13;1409.72
25-26;3;Roche Vendée;Lattes Montpellier;74;73;0;1374.282124913823;1655.659904203034;1403.5;1634.79
25-26;3;Lyon;Toulouse;76;72;0;1502.6489758081823;1524.1616138843178;1521.23;1510.89
25-26;4;Angers;Basket Landes;75;73;0;1514.925410305002;1688.8463292616075;1540.52;1670.56
25-26;4;Villeneuve d'Ascq;Bourges;69;50;0;1501.1323288531776;1706.2126834884027;1527.91;1687.09
25-26;4;Charnay;Charleville-Mézières;78;77;0;1632.5012721386072;1562.524942558504;1646.52;1552.51
25-26;4;Toulouse;Chartres;83;88;0;1510.8886221139908;1324.7313036360313;1484.82;1343.35
25-26;4;Landerneau;Roche Vendée;70;69;0;1409.7215250239403;1403.4987027272302;1426.91;1391.22
25-26;4;Lattes Montpellier;Lyon;73;64;1;1634.7909200506003;1521.2311642866403;1648.48;1507.54
25-26;5;Charleville-Mézières;Angers;78;47;0;1552.509044508102;1540.52050474447;1569.41;1528.45
25-26;5;Basket Landes;Toulouse;77;57;1;1670.564118947702;1484.8170335905177;1680.79;1474.6
25-26;5;Bourges;Roche Vendée;77;59;0;1687.0865730058251;1391.222562819098;1692.48;1387.37
25-26;5;Villeneuve d'Ascq;Charnay;85;70;0;1527.9088835287862;1646.5235294091701;1551.16;1629.91
