Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
25-26;8;Toulouse;Charnay;57;90;0;;;;
25-26;8;Villeneuve d'Ascq;Lyon;65;92;0;;;;
25-26;9;Angers;Charnay;84;91;0;;;;
25-26;9;Basket Landes;Charleville-Mézières;75;67;0;;;;
25-26;9;Bourges;Toulouse;86;63;0;;;;
25-26;9;Chartres;Villeneuve d'Ascq;60;78;0;;;;
25-26;9;Landerneau;Lattes Montpellier;72;68;0;;;;
25-26;9;Roche Vendée;Lyon;70;66;0;;;;
25-26;10;Lattes Montpellier;Angers;79;76;0;;;;
25-26;10;Villeneuve d'Ascq;Basket Landes;77;72;0;;;;
25-26;10;Charnay;Bourges;66;73;0;;;;
25-26;10;Charleville-Mézières;Roche Vendée;72;67;0;;;;
25-26;10;Lyon;Chartres;78;64;0;;;;
25-26;10;Toulouse;Landerneau;64;78;0;;;;
25-26;11;Bourges;Angers;79;64;0;;;;
25-26;11;Basket Landes;Lyon;64;61;0;;;;
25-26;11;Charleville-Mézières;Villeneuve d'Ascq;83;75;1;;;;
25-26;11;Landerneau;Charnay;82;66;0;;;;
25-26;11;Chartres;Roche Vendée;67;72;0;;;;
25-26;11;Lattes Montpellier;Toulouse;75;66;0;;;;
25-26;12;Angers;Roche Vendée;69;76;1;;;;
25-26;12;Landerneau;Basket Landes;56;66;0;;;;
25-26;12;Bourges;Chartres;82;52;0;;;;
25-26;12;Lattes Montpellier;Charleville-Mézières;67;59;0;;;;
25-26;12;Charnay;Lyon;77;73;1;;;;
25-26;12;Toulouse;Villeneuve d'Ascq;70;65;0;;;;
25-26;13;Lyon;Angers;72;67;0;;;;
25-26;13;Basket Landes;Bourges;60;69;0;;;;
25-26;13;Charleville-Mézières;Landerneau;72;56;0;;;;
25-26;13;Chartres;Charnay;92;101;0;;;;
25-26;13;Villeneuve d'Ascq;Lattes Montpellier;91;81;0;;;;
25-26;13;Roche Vendée;Toulouse;83;74;0;;;;
25-26;14;Angers;Chartres;61;70;1;;;;
25-26;14;Charnay;Basket Landes;76;84;0;;;;
25-26;14;Bourges;Charleville-Mézières;80;66;0;;;;
25-26;14;Landerneau;Villeneuve d'Ascq;72;66;0;;;;
25-26;14;Lattes Montpellier;Roche Vendée;70;68;0;;;;
25-26;14;Toulouse;Lyon;76;75;0;;;;
25-26;15;Basket Landes;Angers;66;55;0;;;;
25-26;15;Bourges;Villeneuve d'Ascq;65;62;0;;;;
25-26;15;Charleville-Mézières;Charnay;84;48;0;;;;
25-26;15;Chartres;Toulouse;63;91;0;;;;
25-26;15;Roche Vendée;Landerneau;85;67;0;;;;
25-26;15;Lyon;Lattes Montpellier;70;80;1;;;;
25-26;16;Angers;Charleville-Mézières;46;74;0;;;;
25-26;16;Toulouse;Basket Landes;54;88;1;;;;
25-26;16;Roche Vendée;Bourges;74;83;0;;;;
25-26;16;Charnay;Villeneuve d'Ascq;67;79;0;;;;
25-26;16;Lattes Montpellier;Chartres;77;69;0;;;;
25-26;16;Landerneau;Lyon;67;56;0;;;;
25-26;17;Villeneuve d'Ascq;Angers;61;64;0;;;;
25-26;17;Basket Landes;Lattes Montpellier;68;56;0;;;;
25-26;17;Lyon;Bourges;86;75;0;;;;
25-26;17;Charleville-Mézières;Toulouse;87;70;0;;;;
25-26;17;Roche Vendée;Charnay;82;72;0;;;;
25-26;17;Chartres;Landerneau;60;78;0;;;;
25-26;18;Toulouse;Angers;52;51;0;;;;
25-26;18;Basket Landes;Chartres;78;58;0;;;;
25-26;18;Landerneau;Bourges;66;78;0;;;;
25-26;18;Charleville-Mézières;Lyon;92;59;0;;;;
25-26;18;Lattes Montpellier;Charnay;68;69;0;;;;
25-26;18;Villeneuve d'Ascq;Roche Vendée;79;66;0;;;;
25-26;19;Angers;Landerneau;51;61;0;;;;
25-26;19;Roche Vendée;Basket Landes;67;79;0;;;;
25-26;19;Bourges;Lattes Montpellier;91;87;0;;;;
25-26;19;Chartres;Charleville-Mézières;82;85;0;;;;
25-26;19;Charnay;Toulouse;79;78;0;;;;
25-26;19;Lyon;Villeneuve d'Ascq;64;67;0;;;;
25-26;20;Charnay;Angers;76;65;0;;;;
25-26;20;Charleville-Mézières;Basket Landes;59;68;0;;;;
25-26;20;Toulouse;Bourges;55;84;0;;;;
25-26;20;Villeneuve d'Ascq;Chartres;62;70;0;;;;
25-26;20;Lattes Montpellier;Landerneau;59;65;0;;;;
25-26;20;Lyon;Roche Vendée;90;63;0;;;;
25-26;21;Angers;Lattes Montpellier;60;76;0;;;;
25-26;21;Basket Landes;Villeneuve d'Ascq;89;61;0;;;;
25-26;21;Bourges;Charnay;84;71;0;;;;
25-26;21;Roche Vendée;Charleville-Mézières;70;85;0;;;;
25-26;21;Chartres;Lyon;80;66;0;;;;
25-26;21;Landerneau;Toulouse;72;63;0;;;;
25-26;22;Angers;Bourges;42;86;0;;;;
25-26;22;Lyon;Basket Landes;63;67;0;;;;
25-26;22;Villeneuve d'Ascq;Charleville-Mézières;51;84;1;;;;
25-26;22;Charnay;Landerneau;67;69;0;;;;
25-26;22;Roche Vendée;Chartres;83;92;0;;;;
25-26;22;Toulouse;Lattes Montpellier;66;82;0;;;;
