cle,Saison,min_moy,tirs_min,part_3pts,pd_min,reb_off_min,reb_def_min,int_min,ct_min,fta_rate,eval_min,taille,arch
asuarezutrero,24-25,26.688,0.2828986810546259,0.44370860926858474,0.15175359712201786,0.02248201438844709,0.08430755395667658,0.020608513189409833,0.0,0.29139072847489145,0.36907973621033974,1.7,1
bmununga,23-24,14.747777777777777,0.15821592706879972,0.0952380952335601,0.09040910118217127,0.08287500941699033,0.15821592706879972,0.06780682588662845,0.022602275295542817,0.5238095237845805,0.37670458825904696,1.83,0
cburdick,23-24,21.676666666666666,0.1435235019727125,0.0,0.06151007227401963,0.07176175098635625,0.24091444973991022,0.015377518068504908,0.025629196780841513,0.49999999998214284,0.4100671484934642,1.88,0
cchabrier,23-24,29.54409090909091,0.21077895902855395,0.43795620437636534,0.13077526655056268,0.03384771604838093,0.05231010662022507,0.05077157407257139,0.0,0.5182481751786989,0.306167976983082,1.69,1
cfranchelin,24-25,32.29190476190476,0.2580626133628389,0.3999999999977143,0.21234866470999314,0.01474643504930508,0.08552932328596946,0.05898574019722032,0.001474643504930508,0.4171428571404735,0.40847625086575073,1.69,1
cheriaud,23-24,24.64636363636364,0.21762384272026553,0.7118644067736283,0.1991811441846498,0.029508317656985156,0.05901663531397031,0.05348382575328559,0.0018442698535615723,0.25423728813343865,0.331968573641083,1.65,1
clegrand,24-25,18.808636363636364,0.24650184876327,0.27450980391887736,0.08700065250468353,0.048333695835935296,0.12083423958983824,0.07250054375390294,0.016916793542577354,0.22549019607622067,0.3576693491859212,1.83,0
cleite,24-25,27.98190476190476,0.4373574759190678,0.29182879377318355,0.18379224668972502,0.02893026105301227,0.06296586229185024,0.05786052210602454,0.005105340185825695,0.4669260700370937,0.5054286783967438,1.75,1
dbalayera,23-24,19.735454545454544,0.2786862591545472,0.29752066115456594,0.03685107559068393,0.07370215118136786,0.11285641899646953,0.041457460039519424,0.011515961122088728,0.13223140495758487,0.43069694596611846,1.91,0
dbalayera,24-25,32.77571428571429,0.18160949599706286,0.263999999997888,0.01598163564774153,0.04068052710334208,0.12640020921395576,0.027604643391553555,0.005811503871906012,0.23999999999808,0.24117741068409948,1.91,0
ddibanzilua,24-25,12.662727272727272,0.2512743197636181,0.29999999999571425,0.039485964534282846,0.0430755976737631,0.046665230813243364,0.02871706511584207,0.0,0.29999999999571425,0.1651231244160919,1.72,1
dfankammendjiadeu,24-25,23.637999999999998,0.3659362044158433,0.005780346820775837,0.04442000169209658,0.13537524325210387,0.21998477028466878,0.05288095439535308,0.02115238175814123,0.48554913294517027,0.7339876470075007,1.9,0
dharris,24-25,23.75272727272727,0.34828536435940705,0.395604395602222,0.10716472749520216,0.05358236374760108,0.09759644825455911,0.042100428658829424,0.00191365584812861,0.5439560439530552,0.4018677281070081,1.7,1
dmalonga,24-25,33.08772727272728,0.37915733655656564,0.137681159419791,0.045334029370893716,0.08242550794707948,0.2294176637860379,0.03709147857618577,0.04121275397353974,0.24999999999909422,0.6154437926715268,1.97,0
dslocum,24-25,24.1465,0.33545234298897264,0.5740740740705305,0.10353467376202859,0.018636241277165146,0.09111051291058515,0.026919015178127434,0.004141386950481144,0.14814814814723365,0.28989708653368007,1.7,1
eakhator,23-24,24.884285714285713,0.30713588610050196,0.00934579439243602,0.02583385957854689,0.08611286526182298,0.14926229978715982,0.04879729031503302,0.008611286526182298,0.4112149532671849,0.47649118778208716,1.91,0
eakhator,24-25,31.100454545454546,0.24407711082819006,0.029940119760299762,0.01900001461536809,0.11546162727800607,0.19146168573947842,0.03946156881653372,0.013153856272177907,0.5868263473018753,0.5451542655024844,1.91,0
ebalogun,24-25,32.2795,0.254031196269685,0.4878048780458061,0.0263325020523454,0.04492015055988333,0.08674235970184367,0.03097941417922988,0.012391765671691953,0.21951219512061274,0.2648739912324155,1.85,1
emahoutou,24-25,27.495454545454546,0.1801950735655808,0.0,0.05786080343848924,0.059513969251017505,0.06612663250113056,0.056207637625960975,0.004959497437584792,0.2018348623834694,0.3422053231933506,1.8,0
emartinez,24-25,29.929375,0.2338839350967196,0.34821428571117663,0.0668239814562056,0.0584709837741799,0.1754129513225397,0.0584709837741799,0.002088249420506425,0.1964285714268176,0.4113851358397657,1.88,0
enaigre,23-24,25.920476190476194,0.2847537339476333,0.5096774193515505,0.08267043888802257,0.016534087777604515,0.12859846049247955,0.03306817555520903,0.014696966913426234,0.1612903225796046,0.3490529641938731,1.83,1
enaigre,24-25,31.758095238095237,0.28639117135445574,0.6910994764361723,0.07197265039274281,0.008996581299092851,0.09746296407350588,0.01499430216515475,0.00299886043303095,0.13612565444954908,0.26839800875627007,1.83,1
epeytour,24-25,27.15904761904762,0.18585405196867508,0.7358490565968316,0.047340183048624786,0.005260020338736087,0.05084686327444884,0.024546761580768406,0.0,0.11320754716874332,0.0666269242906571,1.72,1
fabdi,23-24,14.784444444444444,0.18036975800255248,0.49999999997916666,0.04509243950063812,0.015030813166879372,0.12024650533503498,0.03757703291719843,0.0,0.0,0.18036975800255248,1.88,1
feldebrink,24-25,24.823333333333334,0.4095608970041307,0.6311475409784332,0.12085403518154676,0.013428226131282974,0.0704981871892356,0.013428226131282974,0.0033570565328207434,0.21311475409661382,0.2719215791584802,1.74,1
fpasa,24-25,31.701363636363638,0.23801671852338152,0.33734939758832927,0.12044219491544607,0.008603013922531861,0.048750412227680555,0.03727972699763807,0.0014338356537553104,0.30120481927529397,0.22654603329333903,1.75,1
grabot,23-24,23.28705882352941,0.20460745680457562,0.23456790123167198,0.09598868343918363,0.07325452157200855,0.15408709709974214,0.07325452157200855,0.0025260179852416745,0.20987654320728547,0.49004748913688484,1.78,0
grabot,24-25,34.31125,0.21494407810810057,0.33050847457347027,0.08197019927851293,0.04007431964727299,0.158475718605125,0.04918211956710776,0.001821559983966954,0.28813559321789717,0.3133083172423161,1.78,1
gwilliams,23-24,28.1425,0.4204791092937122,0.33802816901170407,0.1273281809833072,0.04145568683177444,0.1806283497670172,0.06810577122362943,0.011844481951935553,0.4014084507013986,0.7521246039479077,1.8,0
hciak,23-24,19.35157894736842,0.24477806788445175,0.03333333333296296,0.040796344647408625,0.09247171453412623,0.17134464751911624,0.02719756309827242,0.005439512619654484,0.19999999999777776,0.42700174064287694,1.97,0
hlimouzin,24-25,35.58318181818182,0.18139315049221236,0.11971830985831185,0.0932514083516303,0.02427091450247912,0.03704508003009971,0.03449024692457559,0.0,0.1549295774636977,0.17500606772840208,1.65,1
hpeters,24-25,27.98526315789474,0.42503573309180576,0.33628318583922,0.08086963063251172,0.04325584894297138,0.20123373203904077,0.048897916196402436,0.003761378168954033,0.2566371681404574,0.45512675844343803,1.91,0
iarrondo,23-24,12.64809523809524,0.14306690260102004,0.5526315789328256,0.13177214713251845,0.045179021874006325,0.045179021874006325,0.026354429426503692,0.0,0.13157894736495845,0.1920108429645269,1.66,1
ipitarchgranel,24-25,15.818333333333333,0.17911705826478183,0.08823529411505192,0.05268148772493583,0.04741333895244225,0.08429038035989733,0.042145190179948666,0.010536297544987167,0.17647058823010384,0.2212622484447305,1.82,0
islonjsak,24-25,22.20923076923077,0.20781379883552295,0.5833333333236111,0.038099196453179204,0.01731781656962691,0.08312551953420917,0.020781379883552293,0.0034635633139253824,0.04999999999916667,0.12815184261523915,1.83,1
jadams,24-25,32.4735294117647,0.2173716148895619,0.4249999999964583,0.07970292545950602,0.05977719409462952,0.1956344534006057,0.05977719409462952,0.00724572049631873,0.5916666666617361,0.4003260574216098,1.8,0
jallemand,23-24,30.582,0.2703115122179271,0.5241935483828694,0.22235301811474648,0.01307958930086744,0.12643602990838523,0.06321801495419262,0.010899657750722866,0.20161290322418055,0.5580624768370107,1.73,1
jbailey,23-24,32.2835,0.27568262425035134,0.5449438202216577,0.11925596667009579,0.06504870909277952,0.15952421515610216,0.05885359394108623,0.004646336363769966,0.37078651685184955,0.4243653878909902,1.76,1
jbailey,24-25,31.701363636363634,0.23514904721587093,0.5548780487771044,0.0673902757264996,0.04158123395890401,0.10180233141662705,0.0544857548427018,0.0043015069612659315,0.34146341463206425,0.36992959866887015,1.76,1
jjocyte,24-25,30.823636363636364,0.3347490119737882,0.5066079295131868,0.08700524980816521,0.01474665250985851,0.08553058455717936,0.020645313513801916,0.001474665250985851,0.2643171806155757,0.27576240193435414,1.84,1
jmouyokolo,23-24,13.845714285714285,0.20291649470283768,0.2203389830471129,0.03439262622081995,0.027514100976655957,0.03439262622081995,0.010317787866245985,0.024074838354573965,0.033898305084171215,0.0687852524416399,1.85,1
jmuzet,23-24,15.639333333333333,0.1875612771209874,0.3636363636280992,0.06820410077126815,0.034102050385634075,0.11935717634971928,0.10656890745510648,0.017051025192817038,0.2954545454478306,0.3069184534707067,1.83,1
jphillips,24-25,22.80095238095238,0.5221168706392337,0.43999999999824,0.05847708951159418,0.07309636188949273,0.11695417902318836,0.037592414686024825,0.010442337412784674,0.13999999999944002,0.25479303287194605,1.8,1
jsalaun,23-24,27.66681818181818,0.3532291718002313,0.39999999999813957,0.07064583436004626,0.03778730675072242,0.16264971166615302,0.04928779141398577,0.009857558282797153,0.3953488372074635,0.5783100859240996,1.88,0
jwalker,23-24,30.982727272727274,0.3550365306177122,0.342975206610153,0.05574953786559116,0.04841407235696075,0.12030163434153883,0.030808955136247748,0.005868372406904333,0.21487603305696334,0.440127930517825,1.91,0
jwojta,23-24,25.862000000000002,0.3170675121794195,0.1829268292671773,0.11020029386723726,0.06960018560036037,0.16433377155640644,0.042533446755775785,0.005800015466696698,0.20121951219389503,0.42340112906885896,1.83,0
jwojta,24-25,25.606875,0.3002123453166869,0.37398373983435784,0.11227453564689104,0.09518928022236414,0.15132654804580967,0.08054477557276966,0.004881501549864828,0.15447154471419128,0.4857094042115504,1.83,0
kalexander,23-24,22.421904761904763,0.3270611222012338,0.0,0.031856602811808486,0.14654037293431904,0.2038822579955743,0.031856602811808486,0.03610414985338295,0.5064935064902176,0.8367667671901695,1.93,0
kbone,24-25,28.467000000000002,0.30210419081637646,0.06976744185965386,0.049179751993363614,0.06674394913385062,0.12997505883960384,0.010538518284292203,0.0,0.3139534883684424,0.41802789194359075,1.93,0
kburke,23-24,28.30809523809524,0.40372096152807757,0.4583333333314236,0.10261241105505305,0.040372096152807756,0.15980621393819738,0.09251938701685111,0.01513953605730291,0.2166666666657639,0.6543643918100924,1.85,1
kchery,23-24,24.827142857142857,0.3049657632769339,0.35220125785942014,0.042196520704984565,0.07672094673633557,0.12467153844654531,0.040278497036576176,0.0364424496997594,0.2893081760988094,0.42388323071825407,1.88,0
kclark,24-25,15.137777777777778,0.1908396946550878,0.0,0.01467997651192983,0.08073987081561407,0.11743981209543863,0.022019964767894744,0.007339988255964915,0.19230769230029585,0.256899588958772,1.9,0
kcooper,24-25,36.660000000000004,0.1957575174092684,0.31147540983351246,0.02406854722245103,0.02727768685211117,0.06739193222286288,0.03209139629660138,0.020859407592790893,0.147540983605348,0.2310580533355299,1.93,0
kcoulibaly,23-24,17.4875,0.3716940671890794,0.3076923076883629,0.033357159875943024,0.0714796283055922,0.10483678818153522,0.05241839409076761,0.0,0.23076923076627218,0.4002859185113163,1.87,0
kdiaby,23-24,23.982727272727274,0.3146203707207562,0.018072289156517637,0.06064971001845902,0.07012622720884325,0.14404306129384017,0.03790606876153689,0.005685910314230534,0.349397590359341,0.5648004245468997,1.93,0
kdiaby,24-25,21.722857142857144,0.3880047349721864,0.005649717514092375,0.10522162304330479,0.11618220877698238,0.2257880661137582,0.032881757201032744,0.008768468586942066,0.5988700564937918,0.8439651014931738,1.93,0
kelenga,23-24,28.213636363636365,0.35443853713492113,0.4181818181799174,0.057999033349350734,0.03383276945378793,0.1111648139195889,0.02738843241497118,0.008055421298520936,0.2045454545445248,0.34960528435580857,1.86,1
kelenga,24-25,30.5,0.12880562060859765,0.5272727272631406,0.014051522248210652,0.016393442622912428,0.04215456674463196,0.016393442622912428,0.007025761124105326,0.054545454544462815,0.10772833723628167,1.86,1
klinskens,23-24,22.415333333333333,0.35392439698910294,0.21848739495614716,0.09219879249295958,0.04461231894820625,0.19332004877556042,0.035689855158565,0.03271570056201792,0.27731092436741756,0.5442702911681162,1.93,0
kmann,23-24,21.63681818181818,0.21638200878087355,0.2815533980555189,0.10503981008780269,0.03151194302634081,0.07983025566673005,0.023108758219316593,0.010503981008780269,0.1844660194156848,0.31091783785989596,1.86,1
knacickaite,23-24,23.54190476190476,0.321614952060517,0.7484276729512678,0.06877300861671433,0.008090942190201685,0.05259112423631095,0.04045471095100843,0.008090942190201685,0.21383647798607652,0.3155467454178657,1.8,1
ksissoko,23-24,26.286363636363635,0.2524641189689565,0.260273972600957,0.048417776240621796,0.048417776240621796,0.12104444060155449,0.04495936365200595,0.013833650354463371,0.143835616437371,0.30434030779819415,1.8,0
ksissoko,24-25,19.685454545454547,0.1847233767424738,0.0999999999975,0.027708506511371068,0.05079892860418029,0.11545211046404612,0.013854253255685534,0.01847233767424738,0.24999999999375003,0.18010529232391195,1.8,0
ksmalls,23-24,28.073809523809523,0.27478585361669955,0.5432098765398568,0.14248155372717755,0.030531761512966618,0.12891188194363684,0.03731659740473698,0.01187346281059813,0.1851851851840421,0.5784072597734231,1.78,1
ktopuzovic,23-24,11.495,0.2870813397104212,0.15151515151056016,0.09569377990347375,0.03479773814671772,0.12179208351351203,0.04349717268339716,0.00869943453667943,0.06060606060422406,0.33927794693049784,1.83,1
ktraylor,23-24,30.21761904761905,0.34984320090714993,0.567567567565011,0.10243156783317453,0.01260696219485225,0.05988307042554819,0.0252139243897045,0.0015758702743565312,0.19819819819730541,0.29468774130467135,1.75,1
ktreffers,24-25,27.768124999999998,0.14405005739462054,0.23437499999633787,0.018006257174327567,0.03376173220186419,0.09003128587163783,0.013504692880745675,0.0,0.42187499999340816,0.1327961466606658,1.86,0
kvilka,23-24,23.098,0.21213957918388576,0.7244897959109746,0.04978786042070788,0.023811585418599422,0.04545848125368981,0.023811585418599422,0.004329379167018077,0.2755102040788213,0.2597627500210846,1.84,1
lbussiere,24-25,26.941363636363636,0.20414705336470762,0.7768595041258111,0.057363634829752555,0.025307485954302596,0.08435828651434199,0.03543048033602363,0.0033743314605736794,0.09917355371818865,0.24463903089159175,1.8,1
levrard,23-24,19.787647058823527,0.23187371800519674,0.4743589743528928,0.14566425874685437,0.011890959897702396,0.03270013971868159,0.023781919795404793,0.002972739974425599,0.17948717948487836,0.09512767918161917,1.65,1
levrard,24-25,25.24888888888889,0.15842281288470686,0.5138888888817515,0.11881710966353015,0.011001584228104643,0.03740538637555579,0.024203485301830214,0.006600950536862786,0.1111111111095679,0.10781552543542551,1.65,1
lgeiselsoder,23-24,23.416666666666668,0.37620742247000266,0.2540540540526808,0.0630401626841626,0.061006609049189614,0.2399593289268125,0.0325368581595678,0.0325368581595678,0.1675675675666618,0.640569395016491,1.92,0
lgeiselsoder,24-25,25.51,0.37418481165964473,0.25714285714163265,0.10869177862494442,0.058800470403658454,0.22629271943226134,0.024945654110642982,0.04098214603891347,0.21904761904657596,0.6343323473849215,1.92,0
lguapo,24-25,25.44909090909091,0.19647067228656773,0.4545454545413223,0.06787168678990521,0.04108023147810052,0.06429949274833126,0.03929413445731354,0.005358291062360938,0.3545454545422314,0.2321926127023073,1.82,1
llacan,23-24,28.554444444444446,0.3969026032133606,0.49509803921325934,0.10506245379177193,0.019456009961439247,0.07587843884961307,0.11284485777634763,0.007782403984575698,0.3137254901945406,0.4027394062017924,1.8,1
llacan,24-25,32.348181818181814,0.3063260545761933,0.43119266054848077,0.08852541944174393,0.009836157715749324,0.07025826939820946,0.07166343478617365,0.008430992327785136,0.40366972476879054,0.4426270972087196,1.8,1
lpreneau,23-24,19.031111111111112,0.20434376459538667,0.4999999999928571,0.09925268566061639,0.014595983185384763,0.07006071928984686,0.04670714619323124,0.0,0.3999999999942857,0.14012143857969372,1.78,1
lpreneau,24-25,25.09363636363636,0.21193348549032365,0.3076923076896778,0.03985074086142838,0.012679781183181757,0.04709633010896081,0.028982356990129732,0.0018113973118831083,0.22222222222032287,0.14491178495064866,1.78,1
lscherf,23-24,22.950909090909093,0.2931157411069217,0.2567567567550219,0.08120098233367425,0.08120098233367425,0.18616810583817997,0.0277271646993034,0.017824605878123616,0.1824324324311998,0.4396736116603825,1.96,0
makoamakani,23-24,30.11818181818182,0.3546634470263286,0.3872340425515437,0.1569574403861199,0.016601267733147296,0.0965891940837661,0.10111681255644263,0.006036824630235381,0.17872340425455863,0.47690914578859506,1.79,1
makoamakani,24-25,22.458181818181817,0.47967940414410687,0.3586497890280226,0.22870790155394127,0.040479274611317034,0.13155764248678037,0.11941386010338526,0.02226360103622437,0.2869198312224181,0.7306509067342726,1.79,1
mbadiane,23-24,25.596666666666668,0.3516082823269019,0.1975308641950922,0.07379433085873251,0.052090115900281765,0.19967877761774677,0.052090115900281765,0.052090115900281765,0.18518518518289895,0.6120588618283107,1.9,0
mdaramy,24-25,33.45727272727272,0.18612613102167472,0.4014598540116682,0.03939896204108443,0.020378773469526427,0.062494905306547714,0.019020188571558,0.02988886775530543,0.2919708029175769,0.20650490449120112,1.8,1
mdebaut,24-25,25.231818181818184,0.31886146640187557,0.5988700564937918,0.0684561340297812,0.009007386056550158,0.054044316339300943,0.016213294901790284,0.0,0.06214689265501612,0.16393442622921287,1.7,1
mdjalditabdi,23-24,21.555365853658536,0.3405863516521939,0.2823920265771349,0.046392160856278904,0.07468006381742458,0.1335189019766076,0.039603064145603946,0.02263032236891654,0.2292358803979095,0.44129128619387253,1.87,0
mdjalditabdi,24-25,33.41227272727272,0.23535173520857153,0.3352601156049985,0.048974927557853036,0.06802073271924032,0.15780809990863756,0.03264995170523535,0.010883317235078451,0.24855491329336096,0.4190077135505204,1.87,0
mdjekoundade,24-25,31.42409090909091,0.1562206182284058,0.2592592592568587,0.07377084749674717,0.021697308087278582,0.10704005323057433,0.0361621801454643,0.030376231322190014,0.3796296296261145,0.3269061085149973,1.85,0
mdursus,24-25,14.135238095238098,0.27961191214027886,0.5180722891503846,0.087589273682497,0.03368818218557577,0.06400754615259396,0.05726990971547881,0.003368818218557577,0.22891566264784438,0.2998248214516243,1.76,1
mfauthoux,23-24,27.32785714285714,0.3528581510223664,0.48888888888526755,0.12284691183741644,0.023523876734824426,0.10977809142918066,0.041820225306354535,0.007841292244941475,0.3481481481455693,0.3188792179609533,1.74,1
mgarrick,24-25,23.47590909090909,0.3465835382493725,0.581005586588933,0.048405522101867667,0.013553546188522947,0.15489767072597654,0.0290433132611206,0.0,0.18435754189841141,0.2633260402341601,1.79,1
mgreen,24-25,35.213,0.21014966063639828,0.4121621621593773,0.11643427143368013,0.014199301394351235,0.06105699599571031,0.03975804390418346,0.0070996506971756175,0.1621621621610665,0.24422798398284123,1.75,1
mhirsch,23-24,18.13111111111111,0.3922049270719929,0.35937499999438477,0.030641009927499442,0.04289741389849922,0.14094864566649742,0.04289741389849922,0.012256403970999778,0.09374999999853516,0.3431793111879938,1.96,0
mjohannes,23-24,29.333333333333332,0.420454545453351,0.7094594594546658,0.09659090909063468,0.01136363636360408,0.09374999999973367,0.042613636363515305,0.00852272727270306,0.20270270270133312,0.4943181818167775,1.78,1
mkaba,23-24,31.295909090909092,0.3587456972297298,0.08097165991870052,0.06390611610570085,0.062453704376025834,0.11619293837400155,0.03485788151220046,0.01742894075610023,0.44129554655691783,0.37036499106712995,1.9,0
mkaba,24-25,26.305,0.2946207945243556,0.08064516128902185,0.03801558639023943,0.05702337958535914,0.0997909142743785,0.03801558639023943,0.019007793195119714,0.3387096774138918,0.27086105303045593,1.9,0
mlisowambaka,23-24,17.75681818181818,0.26878279790024634,0.33333333333015874,0.09983361064866292,0.0563163957505278,0.06911557660292049,0.04095737872765658,0.0025598361704785365,0.35238095237759637,0.38141558940130194,1.78,1
mmilapie,24-25,23.52136363636364,0.1835855218656471,0.07368421052554017,0.036717104373129424,0.06763677121365946,0.08889404216652387,0.021257270952864404,0.00772991671013251,0.45263157894260386,0.2686146056771047,1.92,0
mpaget,24-25,34.78157894736842,0.1361882424148654,0.6111111111043209,0.05901490504644168,0.018158432321982054,0.025724445789474578,0.01664522962848355,0.0,0.06666666666592592,0.10743739123839383,1.71,1
