Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adversaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;O. Monpierre;17;32;0,53;17,53;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;1;0;1;4;2;1;0;0;2;1;-3;5;31;O. Monpierre
23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;TOTAUX EQUIPE;;;;;24;57;0,421052632;22;43;0,511627907;2;14;0,142857143;16;23;0,695652174;20;38;7;16;6;;9;66;9;23;32;18;19;6;3;3;22;23;0;66;;TOTAUX EQUIPE
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;J. Wojta;30;48;0,8;30,8;7;11;0,636363636;7;11;0,636363636;0;0;;1;2;0,5;;;;;;;;15;2;8;10;4;3;0;1;0;0;3;14;22;2;J. Wojta
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;M. Kaba;30;17;0,28;30,28;2;5;0,4;2;5;0,4;0;0;;7;8;0,875;;;;;;;;11;1;8;9;1;0;0;1;0;1;6;10;18;5;M. Kaba
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;J. Bailey;31;21;0,35;31,35;2;8;0,25;1;3;0,333333333;1;5;0,2;2;2;1;;;;;;;;7;1;3;4;4;2;1;0;0;3;1;8;8;10;J. Bailey
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;Capitaine;Starter;K. Elenga;32;20;0,33;32,33;5;9;0,555555556;4;7;0,571428571;1;2;0,5;4;7;0,571428571;;;;;;;;15;0;1;1;1;1;0;0;1;3;3;3;9;18;K. Elenga(C)
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Starter;L. Lacan;29;7;0,12;29,12;0;7;0;0;2;0;0;5;0;7;10;0,7;;;;;;;;7;0;2;2;3;4;1;0;0;1;8;5;-1;32;L. Lacan
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;A. Merceron;9;30;0,5;9,5;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;0;2;2;1;0;2;0;0;2;1;8;3;4;A. Merceron
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;N. Fofana;9;41;0,68;9,68;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;1;1;2;1;0;1;0;0;3;0;6;5;7;N. Fofana
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;M. Dursus;0;36;0,6;0,6;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;M. Dursus
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;I. Arrondo;16;6;0,1;16,1;0;1;0;0;1;0;0;0;;1;1;1;;;;;;;;1;1;0;1;3;1;0;0;0;1;1;3;3;9;I. Arrondo
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;O. Monpierre;10;15;0,25;10,25;1;3;0,333333333;1;2;0,5;0;1;0;2;2;1;;;;;;;;4;1;0;1;1;4;0;0;0;3;1;3;0;31;O. Monpierre
23-24;1;Championat de France;Domicile;Victoire;Saint-Amand;;Banc;TOTAUX EQUIPE;;;;;18;48;0,375;16;34;0,470588235;2;14;0,142857143;24;32;0,75;11;26;5;5;7;15;8;62;8;29;37;19;17;5;2;1;17;24;0;70;;TOTAUX EQUIPE
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;J. Wojta;31;22;0,37;31,37;6;15;0,4;6;11;0,545454545;0;4;0;0;0;;;;;;;;;12;3;7;10;1;1;2;0;0;1;0;-3;15;2;J. Wojta
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;M. Kaba;31;14;0,23;31,23;5;13;0,384615385;5;13;0,384615385;0;0;;6;7;0,857142857;;;;;;;;16;4;4;8;4;1;0;0;1;2;4;-7;18;5;M. Kaba
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;J. Bailey;31;26;0,43;31,43;3;7;0,428571429;3;5;0,6;0;2;0;0;2;0;;;;;;;;6;4;5;9;4;3;2;0;0;3;4;-4;12;10;J. Bailey
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;Capitaine;Starter;K. Elenga;27;23;0,38;27,38;5;11;0,454545455;4;9;0,444444444;1;2;0,5;0;0;;;;;;;;;11;0;6;6;1;2;1;0;0;3;0;7;11;18;K. Elenga(C)
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;L. Lacan;33;46;0,77;33,77;3;12;0,25;2;5;0,4;1;7;0,142857143;2;4;0,5;;;;;;;;9;1;3;4;2;5;6;1;0;3;7;1;6;32;L. Lacan
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;A. Merceron;3;26;0,43;3,43;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;1;0;0;0;0;0;0;5;0;4;A. Merceron
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;N. Fofana;15;13;0,22;15,22;2;7;0,285714286;1;4;0,25;1;3;0,333333333;2;2;1;;;;;;;;7;2;2;4;1;0;0;0;0;2;2;-3;7;7;N. Fofana
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;M. Dursus;2;1;0,02;2,02;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;3;1;8;M. Dursus
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;I. Arrondo;11;6;0,1;11,1;0;3;0;0;0;;0;3;0;0;0;;;;;;;;;0;0;0;0;2;0;0;0;0;1;1;-12;-1;9;I. Arrondo
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;O. Monpierre;13;3;0,05;13,05;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;1;0;1;1;1;1;0;0;3;0;-7;0;31;O. Monpierre
23-24;2;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;25;73;0,342465753;22;51;0,431372549;3;22;0,136363636;10;15;0,666666667;10;34;13;2;9;10;10;63;17;28;45;17;13;12;1;1;18;18;0;72;;TOTAUX EQUIPE
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Starter;J. Wojta;25;52;0,87;25,87;1;3;0,333333333;1;3;0,333333333;0;0;;0;0;;;;;;;;;2;1;1;2;3;1;1;0;0;4;1;1;5;2;J. Wojta
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Starter;M. Kaba;28;53;0,88;28,88;5;15;0,333333333;5;14;0,357142857;0;1;0;6;8;0,75;;;;;;;;16;3;2;5;1;3;0;1;0;2;4;-3;8;5;M. Kaba
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Starter;J. Bailey;28;5;0,08;28,08;2;8;0,25;2;4;0,5;0;4;0;1;4;0,25;;;;;;;;5;0;3;3;3;0;1;0;0;4;6;-7;3;10;J. Bailey
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;Capitaine;Starter;K. Elenga;26;37;0,62;26,62;3;8;0,375;2;5;0,4;1;3;0,333333333;1;2;0,5;;;;;;;;8;0;1;1;3;2;0;1;0;3;2;-15;5;18;K. Elenga(C)
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Starter;L. Lacan;32;15;0,25;32,25;4;13;0,307692308;2;5;0,4;2;8;0,25;3;4;0,75;;;;;;;;13;1;3;4;1;1;2;0;0;5;3;-5;9;32;L. Lacan
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Banc;A. Merceron;9;58;0,97;9,97;1;3;0,333333333;1;3;0,333333333;0;0;;0;0;;;;;;;;;2;1;0;1;0;1;0;0;0;1;0;-10;0;4;A. Merceron
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Banc;N. Fofana;18;12;0,2;18,2;4;8;0,5;3;6;0,5;1;2;0,5;0;0;;;;;;;;;9;2;5;7;1;2;0;0;0;3;0;1;11;7;N. Fofana
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Banc;M. Dursus;0;6;0,1;0,1;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;M. Dursus
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Banc;I. Arrondo;13;17;0,28;13,28;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;0;0;2;2;0;0;0;2;0;-18;-1;9;I. Arrondo
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Banc;O. Monpierre;16;46;0,77;16,77;1;4;0,25;0;3;0;1;1;1;0;0;;;;;;;;;3;2;2;4;1;1;2;0;0;3;4;-9;6;31;O. Monpierre
23-24;3;Championat de France;Domicile;Defaite;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;21;63;0,333333333;16;44;0,363636364;5;19;0,263157895;11;18;0,611111111;7;18;11;2;14;5;6;58;12;18;30;15;14;6;2;0;27;20;0;48;;TOTAUX EQUIPE
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Starter;J. Wojta;27;10;0,17;27,17;6;16;0,375;6;16;0,375;0;0;;1;2;0,5;;;;;;;;13;4;2;6;4;2;0;0;0;3;1;8;10;2;J. Wojta
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Starter;M. Kaba;32;44;0,73;32,73;6;12;0,5;6;11;0,545454545;0;1;0;1;2;0,5;;;;;;;;13;2;3;5;1;2;0;1;0;3;3;8;11;5;M. Kaba
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Starter;J. Bailey;32;7;0,12;32,12;3;7;0,428571429;3;5;0,6;0;2;0;4;4;1;;;;;;;;10;4;4;8;5;2;1;0;0;4;3;-2;18;10;J. Bailey
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;Capitaine;Starter;K. Elenga;31;45;0,75;31,75;9;14;0,642857143;7;9;0,777777778;2;5;0,4;0;0;;;;;;;;;20;2;7;9;1;2;0;0;1;5;2;12;23;18;K. Elenga(C)
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Starter;L. Lacan;27;39;0,65;27,65;3;11;0,272727273;3;5;0,6;0;6;0;2;3;0,666666667;;;;;;;;8;1;4;5;2;2;2;1;0;3;3;12;7;32;L. Lacan
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Banc;N. Fofana;14;3;0,05;14,05;1;9;0,111111111;1;7;0,142857143;0;2;0;0;0;;;;;;;;;2;1;4;5;1;0;1;0;1;2;1;-2;1;7;N. Fofana
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Banc;M. Dursus;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;M. Dursus
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Banc;I. Arrondo;22;17;0,28;22,28;2;5;0,4;2;3;0,666666667;0;2;0;0;0;;;;;;;;;4;2;1;3;1;0;1;0;0;0;1;4;6;9;I. Arrondo
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Banc;M. Ounounou;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;13;M. Ounounou
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Banc;O. Monpierre;12;15;0,25;12,25;0;3;0;0;2;0;0;1;0;0;0;;;;;;;;;0;2;0;2;2;1;0;0;0;1;1;-10;0;31;O. Monpierre
23-24;4;Championat de France;Exterieur;Victoire;Landerneau;;Banc;TOTAUX EQUIPE;;;;;30;77;0,38961039;28;58;0,482758621;2;19;0,105263158;8;11;0,727272727;20;44;17;11;6;8;10;70;21;25;46;17;12;5;2;2;21;15;0;78;;TOTAUX EQUIPE
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;J. Wojta;21;47;0,78;21,78;3;5;0,6;3;5;0,6;0;0;;0;0;;;;;;;;;6;2;2;4;5;1;2;1;0;4;1;-11;15;2;J. Wojta
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;M. Kaba;24;31;0,52;24,52;5;9;0,555555556;4;8;0,5;1;1;1;5;8;0,625;;;;;;;;16;1;2;3;0;1;0;0;0;2;7;-10;11;5;M. Kaba
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;J. Bailey;32;15;0,25;32,25;4;14;0,285714286;1;4;0,25;3;10;0,3;3;3;1;;;;;;;;14;1;3;4;6;1;1;0;0;2;4;-22;14;10;J. Bailey
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;Capitaine;Starter;K. Elenga;29;5;0,08;29,08;6;14;0,428571429;5;8;0,625;1;6;0,166666667;0;0;;;;;;;;;13;1;5;6;0;2;1;0;0;3;0;-25;10;18;K. Elenga(C)
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Starter;L. Lacan;29;58;0,97;29,97;5;11;0,454545455;4;8;0,5;1;3;0,333333333;1;1;1;;;;;;;;12;0;0;0;2;0;3;0;0;2;5;-25;11;32;L. Lacan
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;A. Merceron;13;50;0,83;13,83;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;1;0;1;2;0;1;2;0;1;1;-6;4;4;A. Merceron
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;N. Fofana;19;49;0,82;19,82;1;6;0,166666667;1;5;0,2;0;1;0;1;2;0,5;;;;;;;;3;2;2;4;1;0;1;0;0;3;1;-6;3;7;N. Fofana
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;M. Dursus;4;52;0,87;4,87;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;1;0;1;1;0;0;0;0;0;1;3;0;8;M. Dursus
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;I. Arrondo;12;34;0,57;12,57;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;1;1;1;0;1;0;0;2;1;-5;2;9;I. Arrondo
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;O. Monpierre;11;19;0,32;11,32;1;6;0,166666667;0;4;0;1;2;0,5;0;0;;;;;;;;;3;0;2;2;0;3;0;0;0;0;0;-3;-3;31;O. Monpierre
23-24;5;Championat de France;Domicile;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;25;70;0,357142857;18;44;0,409090909;7;26;0,269230769;10;14;0,714285714;20;30;14;2;6;3;5;67;12;19;31;18;8;10;3;0;20;21;0;72;;TOTAUX EQUIPE
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Starter;M. Kaba;37;10;0,17;37,17;4;11;0,363636364;3;10;0,3;1;1;1;6;6;1;;;;;;;;15;3;5;8;2;3;3;1;1;3;6;-3;19;5;M. Kaba
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Starter;J. Bailey;28;17;0,28;28,28;6;8;0,75;4;4;1;2;4;0,5;0;0;;;;;;;;;14;5;3;8;3;3;0;0;0;3;3;0;20;10;J. Bailey
23-24;6;Championat de France;Exterieur;Defaite;Charnay;Capitaine;Starter;K. Elenga;24;14;0,23;24,23;4;9;0,444444444;4;6;0,666666667;0;3;0;0;0;;;;;;;;;8;1;3;4;1;1;0;0;0;3;0;-1;7;18;K. Elenga(C)
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Starter;O. Monpierre;14;40;0,67;14,67;1;2;0,5;1;2;0,5;0;0;;1;2;0,5;;;;;;;;3;1;1;2;1;4;1;0;0;0;2;-4;1;31;O. Monpierre
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Starter;L. Lacan;32;57;0,95;32,95;4;21;0,19047619;2;11;0,181818182;2;10;0,2;4;4;1;;;;;;;;14;1;2;3;5;2;5;0;1;5;5;0;8;32;L. Lacan
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Banc;A. Merceron;12;8;0,13;12,13;2;5;0,4;2;5;0,4;0;0;;0;0;;;;;;;;;4;2;2;4;0;1;1;0;1;4;0;3;5;4;A. Merceron
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Banc;N. Fofana;15;37;0,62;15,62;0;7;0;0;6;0;0;1;0;0;0;;;;;;;;;0;2;3;5;0;1;1;1;0;1;0;-6;-1;7;N. Fofana
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Banc;M. Dursus;15;39;0,65;15,65;1;5;0,2;0;1;0;1;4;0,25;0;0;;;;;;;;;3;0;1;1;1;0;2;0;0;0;0;-1;3;8;M. Dursus
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Banc;I. Arrondo;19;18;0,3;19,3;2;5;0,4;1;2;0,5;1;3;0,333333333;0;0;;;;;;;;;5;1;0;1;2;0;0;0;0;0;1;-8;5;9;I. Arrondo
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Banc;C. Perdriau;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;C. Perdriau
23-24;6;Championat de France;Exterieur;Defaite;Charnay;;Banc;TOTAUX EQUIPE;;;;;24;73;0,328767123;17;47;0,361702128;7;26;0,269230769;11;12;0,916666667;26;30;14;11;12;4;8;66;18;22;40;15;16;13;2;3;19;17;0;70;;TOTAUX EQUIPE
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Starter;A. Merceron;17;28;0,47;17,47;0;3;0;0;2;0;0;1;0;2;2;1;;;;;;;;2;2;2;4;2;1;0;0;0;0;2;-6;4;4;A. Merceron
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Starter;M. Kaba;37;32;0,53;37,53;7;10;0,7;6;7;0,857142857;1;3;0,333333333;2;4;0,5;;;;;;;;17;1;2;3;1;6;3;1;0;2;3;-8;14;5;M. Kaba
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Starter;J. Bailey;35;42;0,7;35,7;3;6;0,5;2;3;0,666666667;1;3;0,333333333;4;4;1;;;;;;;;11;3;5;8;6;3;0;1;0;2;4;-9;20;10;J. Bailey
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;Capitaine;Starter;K. Elenga;27;37;0,62;27,62;6;8;0,75;4;6;0,666666667;2;2;1;3;3;1;;;;;;;;17;0;5;5;2;3;0;0;0;4;2;-4;19;18;K. Elenga(C)
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Starter;L. Lacan;33;21;0,35;33,35;7;12;0,583333333;3;6;0,5;4;6;0,666666667;2;2;1;;;;;;;;20;0;0;0;3;2;6;0;0;4;5;-9;22;32;L. Lacan
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Banc;N. Fofana;14;12;0,2;14,2;0;8;0;0;5;0;0;3;0;0;0;;;;;;;;;0;2;1;3;0;1;0;0;0;3;0;-16;-6;7;N. Fofana
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Banc;M. Dursus;8;19;0,32;8,32;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;0;0;1;0;0;0;0;2;0;-4;0;8;M. Dursus
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Banc;I. Arrondo;16;11;0,18;16,18;1;3;0,333333333;0;1;0;1;2;0,5;0;2;0;;;;;;;;3;1;1;2;4;0;1;0;0;2;1;-3;6;9;I. Arrondo
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Banc;M. Ounounou;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;13;M. Ounounou
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Banc;C. Perdriau;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;C. Perdriau
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Banc;O. Monpierre;9;38;0,63;9,63;0;5;0;0;4;0;0;1;0;2;2;1;;;;;;;;2;2;0;2;0;3;0;0;1;1;1;-11;-4;31;O. Monpierre
23-24;7;Championat de France;Domicile;Defaite;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;24;56;0,428571429;15;34;0,441176471;9;22;0,409090909;15;19;0,789473684;22;24;12;7;5;6;5;72;11;16;27;19;20;10;2;1;20;18;0;74;;TOTAUX EQUIPE
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Starter;A. Merceron;20;21;0,35;20,35;0;1;0;0;1;0;0;0;;3;4;0,75;;;;;;;;3;0;1;1;0;1;0;0;0;1;2;-23;1;4;A. Merceron
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Starter;M. Kaba;30;47;0,78;30,78;3;10;0,3;3;10;0,3;0;0;;3;4;0,75;;;;;;;;9;2;2;4;5;2;1;0;2;3;3;-13;9;5;M. Kaba
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Starter;J. Bailey;37;45;0,75;37,75;4;11;0,363636364;3;6;0,5;1;5;0,2;1;2;0,5;;;;;;;;10;2;5;7;4;2;2;1;0;1;4;-19;14;10;J. Bailey
23-24;8;Championat de France;Exterieur;Defaite;Bourges;Capitaine;Starter;K. Elenga;25;47;0,78;25,78;4;11;0,363636364;2;7;0,285714286;2;4;0,5;1;2;0,5;;;;;;;;11;0;2;2;2;3;0;0;0;0;2;-10;4;18;K. Elenga(C)
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Starter;L. Lacan;29;50;0,83;29,83;2;12;0,166666667;1;7;0,142857143;1;5;0,2;4;4;1;;;;;;;;9;0;2;2;2;3;2;1;0;2;7;-19;3;32;L. Lacan
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;J. Wojta;18;39;0,65;18,65;3;8;0,375;3;7;0,428571429;0;1;0;2;2;1;;;;;;;;8;0;6;6;0;1;2;1;1;2;1;-8;11;2;J. Wojta
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;N. Fofana;9;22;0,37;9,37;2;5;0,4;2;4;0,5;0;1;0;0;0;;;;;;;;;4;0;0;0;1;1;0;0;0;1;0;-5;1;7;N. Fofana
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;M. Dursus;1;18;0,3;1,3;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;1;8;M. Dursus
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;I. Arrondo;13;23;0,38;13,38;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;2;3;0;1;1;0;0;1;0;-4;3;9;I. Arrondo
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;M. Ounounou;0;46;0,77;0,77;1;1;1;0;0;;1;1;1;0;0;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;3;3;13;M. Ounounou
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;C. Perdriau;0;46;0,77;0,77;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;0;0;3;1;14;C. Perdriau
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;O. Monpierre;11;16;0,27;11,27;0;0;;0;0;;0;0;;2;2;1;;;;;;;;2;0;0;0;1;1;0;0;0;2;1;-5;2;31;O. Monpierre
23-24;8;Championat de France;Exterieur;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;19;59;0,322033898;14;42;0,333333333;5;17;0,294117647;16;20;0,8;24;26;9;12;17;;5;59;7;23;30;15;15;9;3;3;13;20;0;57;;TOTAUX EQUIPE
23-24;9;Championat de France;Exterieur;Victoire;Roche Vendée;;Starter;J. Wojta;27;19;0,32;27,32;3;5;0,6;3;5;0,6;0;0;;1;1;1;;;;;;;;7;2;3;5;5;2;0;0;0;3;2;22;13;2;J. Wojta
