Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
25-26;18;Championat de France;Exterieur;;Basket Landes;Capitaine;Starter;K. Elenga(C);;;;;;;;;;;;;;0;0;;;;;;;;;5;0;3;3;0;2;0;0;0;3;0;-10;4;18;K. Elenga(C)
25-26;18;Championat de France;Exterieur;;Basket Landes;;Starter;N. Enabosi;;;;;;;;;;;0;0;;;;;;;;;;;;17;2;7;9;1;3;0;0;1;2;10;-13;20;33;N. Enabosi
25-26;18;Championat de France;Exterieur;;Basket Landes;;Banc;C. Legrand;;;;;;;;;;;0;0;;0;0;;;;;;;;;6;1;0;1;2;2;2;0;1;1;1;-18;7;7;C. Legrand
25-26;18;Championat de France;Exterieur;;Basket Landes;;Banc;J. Mavambou;;;;;;;;;;;0;1;0,00;;;;;;;;;;;5;0;5;5;1;3;0;0;0;1;1;-12;5;8;J. Mavambou
25-26;18;Championat de France;Exterieur;;Basket Landes;;Banc;E. Marie;;;;;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;1;0;1;2;3;0;0;0;5;0;1;-1;21;E. Marie
25-26;18;Championat de France;Exterieur;;Basket Landes;;Banc;A. Kone;;;;;;;;;;;0;3;0,00;;;;;;;;;;;5;0;3;3;1;1;0;0;1;1;1;-5;3;26;A. Kone
25-26;18;Championat de France;Exterieur;;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;3;0;3;0;0;0;1;0;0;0;0;Team / Coach
25-26;18;Championat de France;Exterieur;;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;20;48;0,42;17;32;0,53;;;;15;17;0,88;13;34;4;7;16;8;10;58;7;28;35;14;27;6;0;3;25;20;0;56;0;TOTAUX EQUIPE
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Starter;D. Lawrence;;;;;;;;;;;;;;0;0;;;;;;;;;10;0;2;2;2;1;1;0;1;1;1;-5;11;1;D. Lawrence
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Starter;Y. Enjolvy;;;;;;;;;;;;;;0;0;;;;;;;;;14;1;2;3;3;2;2;0;0;4;2;-3;13;2;Y. Enjolvy
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Starter;J. Mavambou;;;;;;;;;;;;;;;;;;;;;;;;11;1;4;5;3;3;0;0;0;5;1;-6;14;8;J. Mavambou
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Starter;J. Bailey;;;;;;;;;;;;;;0;1;0,00;;;;;;;;13;0;7;7;6;2;0;1;0;2;7;6;17;10;J. Bailey
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Starter;A. Kone;;;;;;;;;;;;;;;;;;;;;;;;13;0;7;7;1;2;1;0;0;1;3;0;11;26;A. Kone
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Banc;C. Legrand;;;;;;;;;;;;;;0;0;;;;;;;;;10;1;3;4;4;4;0;0;0;1;0;-4;12;7;C. Legrand
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Banc;D. Drame;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;11;D. Drame
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Banc;L. Bagayoko;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;17;L. Bagayoko
25-26;19;Championat de France;Domicile;;Charleville-Mézières;Capitaine;Banc;K. Elenga(C);;;;;;;;0;2;0,00;;;;;;;;;;;;;;8;0;2;2;3;1;0;0;0;3;1;0;10;18;K. Elenga(C)
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Banc;E. Marie;;;;;;;;0;0;;;;;0;0;;;;;;;;;3;0;0;0;3;1;1;0;0;2;0;-3;6;21;E. Marie
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;2;0;3;0;0;0;0;0;0;0;0;Team / Coach
25-26;19;Championat de France;Domicile;;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;30;62;0,48;14;31;0,45;16;31;0,52;;;;16;26;2;11;21;4;9;82;3;29;32;25;19;5;1;1;19;15;0;93;0;TOTAUX EQUIPE
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;Y. Enjolvy;;;;;;;;;;;;;;;;;;;;;;;;17;0;6;6;5;1;0;0;0;3;3;8;13;2;Y. Enjolvy
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;C. Legrand;;;;;0;4;0,00;0;3;0,00;0;1;0,00;;;;;;;;;;;3;4;1;5;6;0;3;1;1;4;3;11;11;7;C. Legrand
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;J. Mavambou;;;;;;;;;;;0;1;0,00;;;;;;;;;;;11;1;2;3;2;1;0;0;0;1;3;-1;8;8;J. Mavambou
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;11;2;6;8;3;2;3;0;0;3;10;7;13;10;J. Bailey
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;11;2;4;6;1;1;0;0;0;3;5;1;10;33;N. Enabosi
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;D. Lawrence;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;D. Lawrence
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;D. Drame;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-2;-1;17;D. Drame
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;Capitaine;Banc;K. Elenga(C);;;;;;;;0;1;0,00;;;;0;0;;;;;;;;;3;0;2;2;3;2;2;0;0;2;0;9;4;18;K. Elenga(C)
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;A. Kone;;;;;;;;;;;;;;;;;;;;;;;;14;2;4;6;2;2;2;1;0;3;4;7;18;26;A. Kone
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;4;5;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;20;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;23;59;0,39;17;36;0,47;;;;18;36;0,50;21;26;9;8;17;18;9;70;12;29;41;22;11;10;2;1;19;28;0;80;0;TOTAUX EQUIPE
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;Y. Enjolvy;;;;;;;;0;3;0,00;;;;0;0;;;;;;;;;9;0;1;1;3;2;1;0;0;1;0;7;6;2;Y. Enjolvy
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;J. Mavambou;;;;;;;;;;;0;2;0,00;;;;;;;;;;;7;0;2;2;1;0;1;0;0;1;2;14;7;8;J. Mavambou
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;J. Bailey;;;;;;;;;;;0;3;0,00;;;;;;;;;;;9;1;3;4;4;1;7;0;0;3;6;11;15;10;J. Bailey
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;Capitaine;Starter;K. Elenga(C);;;;;;;;;;;;;;0;0;;;;;;;;;5;1;2;3;2;1;0;2;0;2;1;-5;10;18;K. Elenga(C)
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Starter;N. Enabosi;;;;;;;;;;;0;0;;;;;;;;;;;;20;3;3;6;3;3;2;0;0;3;9;9;23;33;N. Enabosi
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;D. Lawrence;;;;;;;;;;;;;;;;;;;;;;;;10;1;3;4;2;2;1;0;1;2;2;9;11;1;D. Lawrence
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;C. Legrand;;;;;;;;;;;0;1;0,00;;;;;;;;;;;6;1;0;1;1;2;0;0;2;5;3;21;3;7;C. Legrand
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;D. Drame;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;11;D. Drame
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;L. Bagayoko;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;17;L. Bagayoko
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;E. Marie;;;;;;;;;;;;;;;;;;;;;;;;6;0;2;2;1;2;0;0;0;1;3;0;2;21;E. Marie
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;A. Kone;;;;;;;;;;;0;1;0,00;;;;;;;;;;;8;0;1;1;1;1;0;0;0;3;1;4;5;26;A. Kone
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;5;2;7;0;3;0;0;0;0;0;0;0;0;Team / Coach
25-26;21;Championat de France;Domicile;;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;27;62;0,44;20;41;0,49;;;;19;24;0,79;22;32;13;10;30;17;15;80;12;19;31;18;17;12;2;3;21;27;0;86;0;TOTAUX EQUIPE
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Starter;Y. Enjolvy;29;60;1;61;;;;0;3;0,00;;;;;;;;;;;;;;14;0;3;3;6;1;1;0;0;3;1;9;18;2;Y. Enjolvy
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Starter;C. Legrand;;;;;;;;;;;0;0;;0;0;;;;;;;;;6;1;0;1;1;0;1;1;0;3;0;9;8;7;C. Legrand
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Starter;J. Mavambou;;;;;;;;;;;;;;;;;;;;;;;;12;3;4;7;0;2;0;0;0;1;1;-3;13;8;J. Mavambou
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;16;4;2;6;7;2;2;0;0;3;4;13;25;10;J. Bailey
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Starter;N. Enabosi;;;;;;;;;;;;;;;;;;;;;;;;17;1;1;2;3;1;2;0;1;2;7;9;16;33;N. Enabosi
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Banc;D. Lawrence;;;;;0;4;0,00;0;3;0,00;0;1;0,00;0;0;;;;;;;;;0;1;2;3;2;0;1;0;0;1;1;-4;2;1;D. Lawrence
25-26;22;Championat de France;Exterieur;;Roche Vendée;Capitaine;Banc;K. Elenga(C);;;;;;;;;;;0;0;;;;;;;;;;;;4;1;2;3;2;1;1;0;0;2;1;3;7;18;K. Elenga(C)
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Banc;E. Marie;;;;;;;;0;1;0,00;;;;0;0;;;;;;;;;9;1;2;3;2;0;0;0;0;2;1;7;13;21;E. Marie
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Banc;A. Kone;;;;;;;;;;;0;1;0,00;;;;;;;;;;;14;1;2;3;0;1;0;1;0;4;2;2;11;26;A. Kone
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;1;0;1;0;0;0;0;0;0;0;0;Team / Coach
25-26;22;Championat de France;Exterieur;;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;29;62;0,47;16;43;0,37;13;19;0,68;21;23;0,91;23;26;9;5;27;20;14;92;13;19;32;23;9;8;2;1;21;18;0;113;0;TOTAUX EQUIPE
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Starter;Y. Enjolvy;;;;;;;;;;;;;;0;0;;;;;;;;;8;0;1;1;3;5;1;0;0;4;0;-1;4;2;Y. Enjolvy
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Starter;C. Legrand;;;;;;;;;;;0;1;0,00;;;;;;;;;;;9;0;4;4;2;2;0;1;1;3;3;-15;9;7;C. Legrand
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Starter;J. Mavambou;;;;;0;2;0,00;0;1;0,00;0;1;0,00;0;0;;;;;;;;;0;2;3;5;3;1;0;0;0;4;1;-1;5;8;J. Mavambou
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Starter;J. Bailey;;;;;;;;;;;;;;;;;;;;;;;;15;3;2;5;5;1;1;0;0;3;2;-16;20;10;J. Bailey
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Starter;N. Enabosi;;;;;;;;;;;0;1;0,00;;;;;;;;;;;14;1;4;5;1;1;2;0;1;1;5;-8;17;33;N. Enabosi
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Banc;D. Lawrence;;;;;;;;;;;;;;;;;;;;;;;;13;0;4;4;2;1;1;0;2;2;2;-2;14;1;D. Lawrence
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Banc;D. Drame;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;11;D. Drame
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Banc;L. Bagayoko;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;17;L. Bagayoko
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;Capitaine;Banc;K. Elenga(C);;;;;;;;;;;0;2;0,00;;;;;;;;;;;6;0;2;2;1;2;0;0;0;2;3;-12;1;18;K. Elenga(C)
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Banc;E. Marie;;;;;;;;;;;0;1;0,00;;;;;;;;;;;3;0;3;3;1;1;0;0;0;1;1;-12;3;21;E. Marie
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Banc;A. Kone;;;;;;;;;;;0;0;;;;;;;;;;;;14;2;4;6;0;1;0;0;2;0;3;-10;11;26;A. Kone
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;1;3;0;3;0;0;0;0;0;0;0;0;Team / Coach
25-26;1/4 finale Aller;Playoff;Domicile;;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;28;67;0,42;23;50;0,46;;;;21;24;0,88;23;42;13;17;36;;8;82;10;28;38;18;18;5;1;6;20;20;0;84;0;TOTAUX EQUIPE
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Starter;Y. Enjolvy;;;;;;;;;;;0;2;0,00;0;0;;;;;;;;;8;0;1;1;2;7;0;1;0;3;0;-23;-1;2;Y. Enjolvy
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Starter;C. Legrand;;;;;;;;;;;0;1;0,00;;;;;;;;;;;5;0;0;0;0;3;1;0;0;0;2;-15;0;7;C. Legrand
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Starter;J. Mavambou;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;2;0;1;1;0;4;0;0;0;3;0;-35;-2;8;J. Mavambou
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Starter;J. Bailey;;;;;;;;;;;0;4;0,00;;;;;;;;;;;9;3;4;7;3;6;1;0;0;4;3;-28;7;10;J. Bailey
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Starter;N. Enabosi;;;;;;;;;;;0;0;;;;;;;;;;;;8;2;4;6;0;0;0;0;0;3;5;-19;7;33;N. Enabosi
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Banc;D. Lawrence;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;4;0;3;3;0;0;1;0;0;3;1;-15;2;1;D. Lawrence
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Banc;D. Drame;;;;;;;;;;;0;1;0,00;0;0;;;;;;;;;2;0;0;0;0;0;1;0;0;0;0;1;2;17;D. Drame
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;Capitaine;Banc;K. Elenga(C);;;;;0;4;0,00;0;2;0,00;0;2;0,00;0;0;;;;;;;;;0;1;4;5;1;0;0;1;0;4;0;-3;3;18;K. Elenga(C)
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Banc;E. Marie;;;;;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;2;2;2;2;1;0;0;0;0;-24;3;21;E. Marie
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Banc;A. Kone;;;;;;;;;;;0;3;0,00;;;;;;;;;;;9;0;2;2;1;1;1;0;0;0;1;-24;6;26;A. Kone
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;4;5;0;0;0;0;0;0;0;0;0;0;Team / Coach
25-26;1/4 finale Retour;Playoff;Exterieur;;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;19;56;0,34;19;41;0,46;0;15;0,00;;;;15;30;9;9;15;2;6;47;7;25;32;9;23;6;2;0;20;12;0;32;0;TOTAUX EQUIPE
