Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Starter;C. Legrand;25;14;0,23;14,23;5;14;0,36;5;9;0,56;0;5;0;1;2;0,5;;;;;;;;11;2;3;5;2;2;3;0;0;2;3;-10;9;7;C. Legrand
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Starter;K. Cooper;17;57;0,95;57,95;7;9;0,78;6;7;0,86;1;2;0,5;0;1;0;;;;;;;;15;3;4;7;0;4;4;0;0;3;2;3;19;12;K. Cooper
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;Capitaine;Starter;E. Marie(C);24;48;0,8;48,8;0;2;0;0;0;;0;2;0;1;2;0,5;;;;;;;;1;0;3;3;6;4;2;0;0;0;2;-14;5;21;E. Marie(C)
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Starter;M. Debaut;30;55;0,92;55,92;3;15;0,2;0;5;0;3;10;0,3;1;2;0,5;;;;;;;;10;0;2;2;3;2;2;0;1;2;1;-6;2;30;M. Debaut
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Starter;N. Enabosi;25;16;0,27;16,27;2;8;0,25;2;8;0,25;0;0;;6;8;0,75;;;;;;;;10;2;3;5;4;4;1;0;1;1;6;-10;8;33;N. Enabosi
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Banc;N. Bruce;15;3;0,05;3,05;1;4;0,25;1;3;0,33;0;1;0;0;0;;;;;;;;;2;0;0;0;1;0;0;0;0;0;0;-14;0;5;N. Bruce
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Banc;S. Elenga;22;21;0,35;21,35;1;6;0,17;1;6;0,17;0;0;;2;6;0,33;;;;;;;;4;4;2;6;2;3;1;0;0;3;4;-8;1;6;S. Elenga
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Banc;E. Mahoutou;16;23;0,38;23,38;3;6;0,5;3;6;0,5;0;0;;0;1;0;;;;;;;;6;3;1;4;2;0;1;0;0;2;1;-10;9;26;E. Mahoutou
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Banc;R. Le Seyec;22;3;0,05;3,05;3;4;0,75;3;3;1;0;1;0;1;2;0,5;;;;;;;;7;3;1;4;0;1;0;1;0;0;2;-21;9;27;R. Le Seyec
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;4;7;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;22;Championat de France;Exterieur;Defaite;Tarbes;;Banc;TOTAUX EQUIPE;;;;;25;68;0,37;21;47;0,45;4;21;0,19;12;24;0,5;23;36;15;8;19;;7;66;20;23;43;20;21;14;1;2;13;21;0;68;0;TOTAUX EQUIPE
